current_tariff,arpu_segment,data_segment,call_segment,n,arpu_sum,arpu_mean,arpu_median
tariff_9,LOW,LITE,MEDIUM,2,7751.871469059508,3875.935734529754,3875.935734529754
tariff_6,MID,LITE,HIGH,1,7599.997157603413,7599.997157603413,7599.997157603413
tariff_2,MID,LITE,HIGH,1,7417.4585161841105,7417.4585161841105,7417.4585161841105
tariff_16,MID,NON_USER,LOW,2,7026.774592671249,3513.3872963356243,3513.3872963356243
tariff_20,MID,LITE,HIGH,1,6834.156451834479,6834.156451834479,6834.156451834479
tariff_20,MID,HEAVY,MEDIUM,1,6673.267215306629,6673.267215306629,6673.267215306629
tariff_9,LOW,HEAVY,MEDIUM,2,6562.26391443763,3281.131957218815,3281.131957218815
tariff_1,HIGH,HEAVY,LOW,1,6518.707217414075,6518.707217414075,6518.707217414075
tariff_20,HIGH,NON_USER,HIGH,1,6502.786297943192,6502.786297943192,6502.786297943192
tariff_21,LOW,LITE,MEDIUM,1,6114.468960087595,6114.468960087595,6114.468960087595
tariff_6,HIGH,NON_USER,LOW,2,5932.918331437095,2966.4591657185474,2966.4591657185474
tariff_17,MID,HEAVY,HIGH,1,5862.890817910009,5862.890817910009,5862.890817910009
tariff_5,HIGH,NON_USER,HIGH,1,5846.886419450528,5846.886419450528,5846.886419450528
tariff_19,MID,HEAVY,HIGH,1,5802.953053126734,5802.953053126734,5802.953053126734
tariff_2,MID,NON_USER,LOW,2,5408.00992464502,2704.00496232251,2704.00496232251
tariff_3,MID,NON_USER,MEDIUM,2,5393.9394059724455,2696.9697029862227,2696.9697029862227
tariff_20,HIGH,NON_USER,MEDIUM,1,5376.900644063225,5376.900644063225,5376.900644063225
tariff_16,MID,HEAVY,HIGH,1,5284.782178716934,5284.782178716934,5284.782178716934
tariff_2,MID,NON_USER,HIGH,1,5272.681274042542,5272.681274042542,5272.681274042542
tariff_21,HIGH,LITE,LOW,1,5161.429407192503,5161.429407192503,5161.429407192503
tariff_3,MID,HEAVY,HIGH,1,5161.429407192503,5161.429407192503,5161.429407192503
tariff_21,MID,LITE,MEDIUM,1,5155.332655202863,5155.332655202863,5155.332655202863
tariff_1,LOW,HEAVY,MEDIUM,1,5097.852171702644,5097.852171702644,5097.852171702644
tariff_12,LOW,LITE,MEDIUM,1,4995.653435636455,4995.653435636455,4995.653435636455
tariff_7,MID,LITE,HIGH,1,4952.4381961307645,4952.4381961307645,4952.4381961307645
tariff_2,HIGH,HEAVY,LOW,1,4949.585618522626,4949.585618522626,4949.585618522626
tariff_20,MID,HEAVY,LOW,1,4949.250470018757,4949.250470018757,4949.250470018757
tariff_16,HIGH,LITE,MEDIUM,1,4915.11303343544,4915.11303343544,4915.11303343544
tariff_5,MID,LITE,HIGH,1,4806.162938141744,4806.162938141744,4806.162938141744
tariff_4,LOW,HEAVY,MEDIUM,1,4756.3448140174405,4756.3448140174405,4756.3448140174405
tariff_10,LOW,LITE,MEDIUM,3,4710.179347798312,1570.0597825994373,1753.042085638268
tariff_19,MID,NON_USER,MEDIUM,2,4670.175735629163,2335.0878678145814,2335.0878678145814
tariff_18,MID,NON_USER,LOW,1,4353.472252738182,4353.472252738182,4353.472252738182
tariff_21,MID,HEAVY,MEDIUM,2,4232.047494771719,2116.0237473858597,2116.0237473858597
tariff_4,HIGH,NON_USER,LOW,1,4195.401597004644,4195.401597004644,4195.401597004644
tariff_21,MID,NON_USER,LOW,1,4143.040962961461,4143.040962961461,4143.040962961461
tariff_17,MID,NON_USER,LOW,1,4060.70133588157,4060.70133588157,4060.70133588157
tariff_8,LOW,NON_USER,HIGH,1,4030.1387599688815,4030.1387599688815,4030.1387599688815
tariff_5,MID,NON_USER,HIGH,1,3898.61,3898.61,3898.61
tariff_2,HIGH,LITE,HIGH,1,3829.1413392701456,3829.1413392701456,3829.1413392701456
tariff_13,LOW,LITE,HIGH,1,3779.750634819544,3779.750634819544,3779.750634819544
tariff_3,LOW,HEAVY,HIGH,1,3724.274184166416,3724.274184166416,3724.274184166416
tariff_12,LOW,HEAVY,MEDIUM,1,3608.139407216358,3608.139407216358,3608.139407216358
tariff_20,MID,HEAVY,HIGH,1,3199.290190192068,3199.290190192068,3199.290190192068
tariff_16,HIGH,LITE,LOW,1,3097.356124916441,3097.356124916441,3097.356124916441
tariff_20,LOW,NON_USER,LOW,1,3066.8389237359665,3066.8389237359665,3066.8389237359665
tariff_16,MID,HEAVY,LOW,1,2991.688965736726,2991.688965736726,2991.688965736726
tariff_1,HIGH,NON_USER,LOW,1,2800.558176474392,2800.558176474392,2800.558176474392
tariff_5,MID,HEAVY,HIGH,1,2663.115,2663.115,2663.115
tariff_13,LOW,NON_USER,HIGH,1,2485.953951218534,2485.953951218534,2485.953951218534
tariff_14,LOW,HEAVY,HIGH,1,2485.1406136267774,2485.1406136267774,2485.1406136267774
tariff_17,HIGH,HEAVY,LOW,1,2479.162233877764,2479.162233877764,2479.162233877764
tariff_1,MID,HEAVY,LOW,1,2345.9464344261883,2345.9464344261883,2345.9464344261883
tariff_16,LOW,LITE,LOW,1,2316.405394127404,2316.405394127404,2316.405394127404
tariff_2,LOW,LITE,LOW,1,2235.7164412016937,2235.7164412016937,2235.7164412016937
tariff_21,LOW,HEAVY,LOW,1,1906.2469649726063,1906.2469649726063,1906.2469649726063
tariff_11,LOW,HEAVY,MEDIUM,2,1178.9366666666665,589.4683333333332,589.4683333333332
tariff_3,LOW,HEAVY,MEDIUM,1,932.57,932.57,932.57
tariff_10,LOW,LITE,HIGH,1,884.0566666666667,884.0566666666667,884.0566666666667
tariff_6,LOW,NON_USER,MEDIUM,1,606.3233333333333,606.3233333333333,606.3233333333333
tariff_5,LOW,HEAVY,LOW,1,598.3100000000001,598.3100000000001,598.3100000000001
tariff_14,LOW,NON_USER,MEDIUM,1,280.355,280.355,280.355
